Genotype,Seed,Cold,Cell Age,Border Age,Update
Wild Type,1,False,8,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,True,144,144,7168
Wild Type,1,False,144,8,7168
Wild Type,1,False,136,24,7168
Wild Type,1,False,136,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,216,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,40,0,7168
Wild Type,1,False,8,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,96,8,7168
Wild Type,1,False,96,8,7168
Wild Type,1,False,208,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,128,16,7168
Wild Type,1,False,792,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,96,8,7168
Wild Type,1,False,112,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,128,8,7168
Wild Type,1,False,128,128,7168
Wild Type,1,False,920,128,7168
Wild Type,1,False,136,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,168,8,7168
Wild Type,1,False,168,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,208,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,72,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,1256,8,7168
Wild Type,1,False,472,64,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,176,0,7168
Wild Type,1,False,688,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,152,8,7168
Wild Type,1,False,96,16,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,208,8,7168
Wild Type,1,False,2000,0,7168
Wild Type,1,False,104,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,144,0,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,200,16,7168
Wild Type,1,False,136,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,176,8,7168
Wild Type,1,False,176,8,7168
Wild Type,1,False,200,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,544,248,7168
Wild Type,1,False,544,64,7168
Wild Type,1,False,64,64,7168
Wild Type,1,True,64,64,7168
Wild Type,1,False,64,64,7168
Wild Type,1,True,64,64,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,664,0,7168
Wild Type,1,False,664,0,7168
Wild Type,1,False,120,64,7168
Wild Type,1,False,120,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,56,56,7168
Wild Type,1,False,200,0,7168
Wild Type,1,False,248,0,7168
Wild Type,1,False,160,16,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,8,7168
Wild Type,1,False,928,8,7168
Wild Type,1,False,928,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,2008,24,7168
Wild Type,1,False,2008,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,56,8,7168
Wild Type,1,False,56,56,7168
Wild Type,1,False,56,0,7168
Wild Type,1,False,424,0,7168
Wild Type,1,False,424,56,7168
Wild Type,1,False,160,0,7168
Wild Type,1,False,160,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,216,16,7168
Wild Type,1,False,176,0,7168
Wild Type,1,False,176,32,7168
Wild Type,1,False,32,8,7168
Wild Type,1,False,32,32,7168
Wild Type,1,False,40,0,7168
Wild Type,1,False,40,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,248,248,7168
Wild Type,1,False,248,16,7168
Wild Type,1,False,560,24,7168
Wild Type,1,False,24,16,7168
Wild Type,1,False,24,24,7168
Wild Type,1,False,24,24,7168
Wild Type,1,False,616,0,7168
Wild Type,1,False,616,24,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,64,64,7168
Wild Type,1,False,64,8,7168
Wild Type,1,False,464,0,7168
Wild Type,1,False,472,0,7168
Wild Type,1,False,56,56,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,0,7168
Wild Type,1,False,992,8,7168
Wild Type,1,False,40,0,7168
Wild Type,1,False,40,24,7168
Wild Type,1,False,24,24,7168
Wild Type,1,False,24,24,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,24,24,7168
Wild Type,1,False,24,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,0,0,7168
Wild Type,1,True,0,0,7168
Wild Type,1,True,424,0,7168
Wild Type,1,False,144,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,248,0,7168
Wild Type,1,False,304,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,32,0,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,416,16,7168
Wild Type,1,False,416,16,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,16,16,7168
Wild Type,1,False,16,8,7168
Wild Type,1,False,16,8,7168
Wild Type,1,True,8,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,624,0,7168
Wild Type,1,False,640,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,464,0,7168
Wild Type,1,False,24,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,976,0,7168
Wild Type,1,False,32,32,7168
Wild Type,1,False,32,24,7168
Wild Type,1,False,24,24,7168
Wild Type,1,False,24,24,7168
Wild Type,1,False,112,0,7168
Wild Type,1,False,32,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,0,0,7168
Wild Type,1,False,96,16,7168
Wild Type,1,False,72,8,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,8,0,7168
Wild Type,1,False,8,8,7168
Wild Type,1,False,192,0,7168
Wild Type,1,False,192,0,7168
Wild Type,1,False,192,8,7168
