Genotype,Seed,Fraction Resevoir
Wild Type,1,0.11764705882352941
Wild Type,1,0.30158730158730157
Wild Type,1,0.34615384615384615
Wild Type,1,0.0
Wild Type,1,0.2692307692307692
Wild Type,1,0.3333333333333333
Wild Type,1,0.15
Wild Type,1,0.3170731707317073
Wild Type,1,0.24786324786324787
Wild Type,1,0.125
Wild Type,1,0.23404255319148937
Wild Type,1,0.25
Wild Type,1,0.2857142857142857
Wild Type,1,0.16
Wild Type,1,0.08163265306122448
Wild Type,1,0.08333333333333333
Wild Type,1,0.0
Wild Type,1,0.0
Wild Type,1,0.19047619047619047
Wild Type,1,0.2653061224489796
Wild Type,1,0.3225806451612903
Wild Type,1,0.20652173913043478
Wild Type,1,0.32075471698113206
Wild Type,1,0.30666666666666664
Wild Type,1,0.4027777777777778
Wild Type,1,0.375
Wild Type,1,0.0
Wild Type,1,0.23076923076923078
Wild Type,1,0.21052631578947367
Wild Type,1,0.0
Wild Type,1,0.1276595744680851
Wild Type,1,0.24719101123595505
Wild Type,1,0.06666666666666667
Wild Type,1,0.11290322580645161
Wild Type,1,0.2537313432835821
Wild Type,1,0.2903225806451613
Wild Type,1,0.27941176470588236
Wild Type,1,0.0
Wild Type,1,0.20588235294117646
Wild Type,1,0.25961538461538464
Wild Type,1,0.171875
Wild Type,1,0.3619047619047619
Wild Type,1,0.0
Wild Type,1,0.1794871794871795
Wild Type,1,0.1702127659574468
Wild Type,1,0.38823529411764707
Wild Type,1,0.3
Wild Type,1,0.23529411764705882
Wild Type,1,0.16666666666666666
Wild Type,1,0.058823529411764705
Wild Type,1,0.037037037037037035
Wild Type,1,0.16666666666666666
Wild Type,1,0.07407407407407407
Wild Type,1,0.0
Messaging Knockout,1,0.07894736842105263
Messaging Knockout,1,0.05263157894736842
Messaging Knockout,1,0.16129032258064516
Messaging Knockout,1,0.08333333333333333
Messaging Knockout,1,0.08333333333333333
Messaging Knockout,1,0.11363636363636363
Messaging Knockout,1,0.10344827586206896
Messaging Knockout,1,0.17105263157894737
Messaging Knockout,1,0.1896551724137931
Messaging Knockout,1,0.12727272727272726
Messaging Knockout,1,0.05555555555555555
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.40476190476190477
Messaging Knockout,1,0.017857142857142856
Messaging Knockout,1,0.11538461538461539
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.058823529411764705
Messaging Knockout,1,0.08333333333333333
Messaging Knockout,1,0.057692307692307696
Messaging Knockout,1,0.037037037037037035
Messaging Knockout,1,0.2857142857142857
Messaging Knockout,1,0.07792207792207792
Messaging Knockout,1,0.12121212121212122
Messaging Knockout,1,0.10294117647058823
Messaging Knockout,1,0.0
Messaging Knockout,1,0.1388888888888889
Messaging Knockout,1,0.0
Messaging Knockout,1,0.21428571428571427
Messaging Knockout,1,0.12727272727272726
Messaging Knockout,1,0.05555555555555555
Messaging Knockout,1,0.1134020618556701
Messaging Knockout,1,0.08888888888888889
Messaging Knockout,1,0.06666666666666667
Messaging Knockout,1,0.05263157894736842
Messaging Knockout,1,0.0
Messaging Knockout,1,0.07142857142857142
Messaging Knockout,1,0.10344827586206896
Messaging Knockout,1,0.0
Messaging Knockout,1,0.13636363636363635
Messaging Knockout,1,0.12162162162162163
Messaging Knockout,1,0.09836065573770492
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.1076923076923077
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.09090909090909091
Messaging Knockout,1,0.06976744186046512
Messaging Knockout,1,0.13333333333333333
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.17045454545454544
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
Messaging Knockout,1,0.07407407407407407
Messaging Knockout,1,0.07142857142857142
Messaging Knockout,1,0.03225806451612903
Messaging Knockout,1,0.1388888888888889
Messaging Knockout,1,0.022727272727272728
Messaging Knockout,1,0.0
Messaging Knockout,1,0.0
