Genotype,Seed,Cardinal Resource-Sharing Standard Deviation
Wild Type,1,0.32822035181204895
Wild Type,1,0.26061328780441123
Wild Type,1,0.4330127018922193
Wild Type,1,0.22456878532364674
Wild Type,1,0.4330127018922193
Wild Type,1,0.2371265170041815
Wild Type,1,0.2708378142919582
Wild Type,1,0.4330127018922193
Wild Type,1,0.25980762113533157
Wild Type,1,0.1151304759614593
Wild Type,1,0.4330127018922193
Wild Type,1,0.20173962274276042
Wild Type,1,0.39076348022939245
Wild Type,1,0.4330127018922193
Wild Type,1,0.2558446538548178
Wild Type,1,0.0
Wild Type,1,0.27229886111701335
Wild Type,1,0.25885446942320334
Wild Type,1,0.35678822301715996
Wild Type,1,0.3061902199052357
Wild Type,1,0.3634824620273368
Wild Type,1,0.4330127018922193
Wild Type,1,0.4330127018922193
Wild Type,1,0.0
Wild Type,1,0.4005709054934691
Wild Type,1,0.4330127018922193
Wild Type,1,0.4330127018922193
Wild Type,1,0.2602063054555303
Wild Type,1,0.34899191651290273
Wild Type,1,0.0
Wild Type,1,0.0
Wild Type,1,0.378645160082586
Wild Type,1,0.30982158168213597
Wild Type,1,0.0
Wild Type,1,0.0
Wild Type,1,0.3718247163819712
Wild Type,1,0.4330127018922193
Wild Type,1,0.25375793356919857
Wild Type,1,0.40246444630979455
Wild Type,1,0.4330127018922193
Wild Type,1,0.4330127018922193
Wild Type,1,0.34145319223112414
Wild Type,1,0.2637019357033475
Wild Type,1,0.4330127018922193
Wild Type,1,0.2763853991962833
Wild Type,1,0.3318616004799812
Wild Type,1,0.27070361517498626
Wild Type,1,0.349532444565421
Wild Type,1,0.4330127018922193
Wild Type,1,0.29353933793278125
Wild Type,1,0.23240045735301348
Wild Type,1,0.32420034565099387
Wild Type,1,0.0
Wild Type,1,0.3895045521065142
Wild Type,1,0.3363264381061306
Wild Type,1,0.0
Wild Type,1,0.0
Wild Type,1,0.0
Wild Type,1,0.4330127018922193
Wild Type,1,0.29811551090501703
Wild Type,1,0.4330127018922193
Wild Type,1,0.22919495258778308
Wild Type,1,0.38785233637388383
Wild Type,1,0.20705459021887188
Wild Type,1,0.22120503299231023
Wild Type,1,0.3888053770859526
Wild Type,1,0.4330127018922193
Wild Type,1,0.0
Wild Type,1,0.2867156703845945
Wild Type,1,0.40167956400430127
Wild Type,1,0.4330127018922193
Wild Type,1,0.38003745531828814
Wild Type,1,0.23300240259765784
Wild Type,1,0.2763853991962833
Wild Type,1,0.25
Wild Type,1,0.0
Wild Type,1,0.21889687174548017
Wild Type,1,0.2763853991962833
Wild Type,1,0.0
Wild Type,1,0.3450296164219208
Wild Type,1,0.2427183740902197
Wild Type,1,0.2710613648070774
Wild Type,1,0.26358674943888605
Wild Type,1,0.0
Wild Type,1,0.25914777008368634
Wild Type,1,0.3130837673497109
Wild Type,1,0.0
Wild Type,1,0.24409839922813795
Wild Type,1,0.2166960690695842
Wild Type,1,0.4330127018922193
Wild Type,1,0.36000519500792083
Wild Type,1,0.0
Wild Type,1,0.1918192038308962
Wild Type,1,0.2763853991962833
Wild Type,1,0.22036867531551077
Wild Type,1,0.4330127018922193
Wild Type,1,0.4330127018922193
Wild Type,1,0.0
Wild Type,1,0.21021845600405778
Wild Type,1,0.2574061724096939
Wild Type,1,0.25050921597910064
Wild Type,1,0.4244064870728066
Wild Type,1,0.0
Wild Type,1,0.0
Wild Type,1,0.2763853991962833
Wild Type,1,0.4330127018922193
Wild Type,1,0.4330127018922193
Wild Type,1,0.0
Wild Type,1,0.25297653523864894
Wild Type,1,0.4330127018922193
Wild Type,1,0.20977605608306224
Wild Type,1,0.3442889912416261
Wild Type,1,0.3577579614220322
Wild Type,1,0.4330127018922193
