Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Reproduction Incidence,11121.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,4914699.893844416,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Rate,0.003016764322916667,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.3331976708562328,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Incidence,9619.0,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,1184304.0,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,561207.116621695,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Rate,0.00812207000905173,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,0.4738708276098831,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.32126302083333336,Nonchannelmate,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Incidence,8902.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,2335344.0,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,2885786.4863545676,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Rate,0.0038118581245418235,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.2357008159631162,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.6335026041666667,Nondirect Cell Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Incidence,11121.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,3686400.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,4914699.893844416,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Rate,0.003016764322916667,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.3331976708562328,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,1.0,Nondirect Propagule Relative,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Incidence,8256.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,1014848.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,484279.8071538547,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Rate,0.008135208425301129,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,0.47719442434123605,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.2752951388888889,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Incidence,1277.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,1351328.0,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,2261764.4869799176,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Rate,0.0009449963295365744,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.6737346424997614,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.36657118055555554,Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Incidence,84.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,675528.0,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,1203860.840098633,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Reproduction Rate,0.00012434717731907486,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.7821035398956564,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.18324869791666668,Cell Parent,262144,262400,resource-even__channelsense-yes__nlev-two,1001
