Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Total Resource Shared,0.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,4914699.893844416,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.3331976708562328,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,0.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,1014848.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,484279.8071538547,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,0.47719442434123605,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.2752951388888889,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,0.0,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,178688.0,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,244283.33252262074,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.36709422301789,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.04847222222222222,Child Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,0.0,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,357376.0,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,470128.6596277214,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.3155014875865234,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.09694444444444444,Nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,0.0,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,993952.0,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,1791635.8273520458,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.8025375746032462,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.2696267361111111,Non-nuclear Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,0.0,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,178688.0,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,225845.32710508487,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.2639087521550685,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.04847222222222222,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,0.0,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,412112.0,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,571496.5016934554,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.3867504505897799,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.11179253472222223,Parent Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,0.0,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,824224.0,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,1481857.4383951246,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.797881933060824,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.22358506944444445,Nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,0.0,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,326544.0,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,609870.8518491058,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,1.8676529100185757,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.08858072916666666,Non-nuclear Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,0.0,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Incidence,412112.0,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Source Stockpile,910360.9367013597,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Rate,0.0,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Mean Source Stockpile,2.209013415531117,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Resource Transfer Ratio,0.0,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Relationship Frequency,0.11179253472222223,Child Channelmate 0,262144,262400,resource-even__channelsense-yes__nlev-two,1001
Total Resource Shared,28543.168989989557,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,3686400.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,5874062.202631792,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,0.007742830129662966,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,1.593441352710447,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,0.004835689867938288,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,1.0,Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,12.200309781222458,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,778064.0,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,662699.9636954503,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Rate,1.5680342209924195e-05,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Mean Source Stockpile,0.8517293740559264,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Resource Transfer Ratio,1.8409666283303875e-05,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Frequency,0.21106336805555556,Unrelated Neighbor,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Resource Shared,5522.364722995531,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Relationship Incidence,747472.0,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
Total Source Stockpile,1286384.5123446225,Parent Channelmate 1,262144,262400,resource-even__channelsense-yes__nlev-two,1002
